Слово	№	Значения	Пара контекстов
		2.2	Раздались отдельные хлопки , перешедшие в бурную овацию , публика в тот
клетка	1	1.1	тривиальные калоши и валенки , но и граммофон , клетка с живыми чижами и даже печатная машинка
		1.2	верхом , а ноги за ушами . В выделенных клетках по вертикали :
	2	1.1	тривиальные калоши и валенки , но и граммофон , клетка с живыми чижами и даже печатная машинка
		2.1	По неясным пока причинам клетки щитовидной железы неожиданно становятся словно чужеродными собственному
	3	1.2	верхом , а ноги за ушами . В выделенных клетках по вертикали :
		2.1	По неясным пока причинам клетки щитовидной железы неожиданно становятся словно чужеродными собственному
декрет	1	1.1	В 1919 году новое советское правительство издало Декрет об изобретениях — все инновации объявлялись
		1.2	загвоздка : врач - женщина могла уйти в затяжной декрет — года на три , а то и больше .
среда	1	1.1	Рассматриваются проблемы импульсной прочности сплошных сред с позиции структурно - временного подхода , основанного на
		1.2	Сообщения о загрязнении окружающей среды , новых болезнях домашних животных и птиц , опытах
	2	1.1	Рассматриваются проблемы импульсной прочности сплошных сред с позиции структурно - временного подхода , основанного на
		1.3	Взаимоотношения с социальной средой « корпоративные » структуры строят не столько на обмене ,
	3	1.2	Сообщения о загрязнении окружающей среды , новых болезнях домашних животных и птиц , опытах
		2.1	Мы же только в среду с ним договаривались в ближайшие выходные пойти
лев	1	1.1	успех , особенно если выдержан сам темп бега льва за газелью .
		1.2	Он не лев , не герой , не грозен , он строго честен ,
	2	1.1	успех , особенно если выдержан сам темп бега льва за газелью .
		1.3	Кто был Пушкин ? Гениальный поэт , светский лев . И его знает весь мир .
	3	1.4	В созвездии Льва обнаружено крупнейшее скопление галактик .
		1.5	наломать дров , звезды предостерегают от необдуманных поступков . Льву сейчас лучше успокоиться и не делать
	4	1.2	Он не лев , не герой , не грозен , он строго честен ,
		1.5	наломать дров , звезды предостерегают от необдуманных поступков . Льву сейчас лучше успокоиться и не делать
	5	1.1	успех , особенно если выдержан сам темп бега льва за газелью .
		2.1	За один лев они получили и еду и пиво ,
обед	1	1.1	Решив в ожидании парохода устроить прощальный обед , Дюма оказался в затруднении
		1.2	Ты тоже собираешься , вместо того чтобы готовить обеды , сидеть за компьютером ?
	2	1.2	Ты тоже собираешься , вместо того чтобы готовить обеды , сидеть за компьютером ?
		1.3	первую половину дня в школе , а после обеда в универе .
	3	1.3	первую половину дня в школе , а после обеда в универе .
		1.4	обеденного перерыва , уход с работы и на обед раньше времени , отлучки с работы ) , а также
курица	1	1.1	зарослях репейника под оградой он спугнул нескольких куриц , которые с громким кудахтаньем бросились к дому .
		1.2	дома меня будут ждать традиционные новогодние закуски : курица с яблоками и домашний салат .
	2	1.1	зарослях репейника под оградой он спугнул нескольких куриц , которые с громким кудахтаньем бросились к дому .
		1.3	Тем более на мнение продавщиц , этих безмозглых куриц , не только никогда не посещавших курсы маркетинга ,
	3	1.2	дома меня будут ждать традиционные новогодние закуски : курица с яблоками и домашний салат .
		1.3	Тем более на мнение продавщиц , этих безмозглых куриц , не только никогда не посещавших курсы маркетинга ,
пост	1	1.1	Черная « Волга » со спецталоном пролетала посты ДПС , игнорируя все скоростные лимиты .
		1.2	А мы извинялись и возвращались на свой пост к подъезду .
	2	1.1	Черная « Волга » со спецталоном пролетала посты ДПС , игнорируя все скоростные лимиты .
		1.3	Надо было просто снова Норигтона приглашать на пост режиссера , хотя после LXG большие шишки наверняка
	3	1.2	А мы извинялись и возвращались на свой пост к подъезду .
		1.4	, произвёл выпуск их на вечернюю работу , расставил посты ( на лестничной площадке , в коридоре штаба и
	4	1.1	Черная « Волга » со спецталоном пролетала посты ДПС , игнорируя все скоростные лимиты .
		2.1	также увеличение числа оправдательных вердиктов во время поста и перед большими христианскими праздниками .
пропасть	1	1.1	падения - то бывают разные : один падает в пропасть , а другой просто в помойную яму .
		1.2	населения на юге больше , вернее , что больше пропасть между очень богатыми и бедными .
	2	1.1	падения - то бывают разные : один падает в пропасть , а другой просто в помойную яму .
		2.1	жалко , что вас не было ; гостей было пропасть , человек тысяча , музыка , генералы , и я танцевал …
	3	1.2	населения на юге больше , вернее , что больше пропасть между очень богатыми и бедными .
		2.1	жалко , что вас не было ; гостей было пропасть , человек тысяча , музыка , генералы , и я танцевал …
девятка	1	1.1	имел уникальный набор цифр от единицы до девятки , и филателисты буквально атаковали отделение .
		1.2	покера ) среди 6000 участников попал в финальную девятку , занял 4-е место и получил приз 1
	2	1.1	имел уникальный набор цифр от единицы до девятки , и филателисты буквально атаковали отделение .
		1.3	пути еще незажженного света согнутую карту ( трефовую девятку ; впрочем , от этого вообще ничто не зависело ,
	3	1.1	имел уникальный набор цифр от единицы до девятки , и филателисты буквально атаковали отделение .
		1.4	большие лужи , въехал в арку , увидел вишневую « девятку » Константина и извинительно моргнул фарами : опоздал на
	4	1.2	покера ) среди 6000 участников попал в финальную девятку , занял 4-е место и получил приз 1
		1.5	общежития , несколько лет назад построено новое общежитие ( « девятка » ) , сейчас доводятся до готовности два корпуса дома
	5	1.4	большие лужи , въехал в арку , увидел вишневую « девятку » Константина и извинительно моргнул фарами : опоздал на
		1.6	Юрой говорили и говорили , потом играли в « девятку » , обучив к неудовольствию папы простенькой карточной игре
крыло	1	1.1	на верху длинной деревянной стремянки , мягким вороньим крылом сметал пыль с корешков почерневших от времени
		1.2	Между точками на концах крыльев самолета возникла небольшая разность потенциалов
	2	1.1	на верху длинной деревянной стремянки , мягким вороньим крылом сметал пыль с корешков почерневших от времени
		1.3	поставили меленки кованые с колокольцами , у меленок крылья крутились , звон тихий от колокольцев поширивался — в
	3	1.4	первое и третье ТО , 90 — за переднее крыло или 20 — за половинку заднего фонаря .
		1.5	месяца нисана в крытую колоннаду между двумя крыльями дворца Ирода Великого вышел прокуратор Иудеи Понтий
	4	1.6	В феврале — марте 1942 года на левом крыле 1-й Ударной армии вели ожесточенные бои по
		1.7	область — это регионы , где традиционно сильно правое крыло политического спектра .
	5	1.4	первое и третье ТО , 90 — за переднее крыло или 20 — за половинку заднего фонаря .
		1.7	область — это регионы , где традиционно сильно правое крыло политического спектра .
хвост	1	1.1	откликнулась кошка и с удивленным мяуканьем , подняв хвост и высоко держа голову , побежала к ним .
		1.2	Лазарев тоже поднялся , и они ушли в хвост самолета , где было два свободных кресла через
	2	1.1	откликнулась кошка и с удивленным мяуканьем , подняв хвост и высоко держа голову , побежала к ним .
		1.8	того , к циклу присоединены два длинных углеводородных « хвоста » с другими реакционными группами
	3	1.3	вдоль улицы к дому . Параллельно тянулся бесконечный хвост из машин . Двигались мы примерно с равной
		1.5	Этот атрибут костюмов — вместе с хвостами у лиц мужского пола — вызывал смешанное чувство
	4	1.6	на своем родном вокзале , и пристроившись в хвост очереди той кассы , которая согласно объявлению выдавала
		1.7	Сперматозоид состоит из головки , шейки , тела и хвоста , общая длина — около 50 - 60 мкм
	5	1.2	Лазарев тоже поднялся , и они ушли в хвост самолета , где было два свободных кресла через
		1.4	времени достаточно , чтобы подтянуть самые « горящие » хвосты по остальным делам и с завтрашнего дня
штамп	1	1.1	В институте освоили производство прецизионных штампов — до этого их делали на других предприятиях
		1.2	взяла в руки официальный белый конверт со штампом , разбирать который она и не пыталась , и
	2	1.2	взяла в руки официальный белый конверт со штампом , разбирать который она и не пыталась , и
		1.3	стремление наших иностранных коллег подогнать события под штампы , упростить , сделать понятными для читателя .
	3	1.1	В институте освоили производство прецизионных штампов — до этого их делали на других предприятиях
		1.3	стремление наших иностранных коллег подогнать события под штампы , упростить , сделать понятными для читателя .
поток	1	1.1	, нежели Колюнино пестрое бытие , похожее на весенний поток , подхватывающий мальчика , как щепку , и бросающий его
		1.2	летние месяцы подрабатывающие в музее , строго дозируют поток желающих осмотреть роспись , которой на днях исполнится
	2	1.2	летние месяцы подрабатывающие в музее , строго дозируют поток желающих осмотреть роспись , которой на днях исполнится
		1.4	стенах была чем - то неправильным , и поэтому поток студентов – сорок пять разновозрастных существ – изучал меня
	3	1.1	, нежели Колюнино пестрое бытие , похожее на весенний поток , подхватывающий мальчика , как щепку , и бросающий его
		1.3	тон был в эти дни поставлен на поток ) и прочие критики - в - теме разводили руками
	4	1.3	тон был в эти дни поставлен на поток ) и прочие критики - в - теме разводили руками
		1.4	стенах была чем - то неправильным , и поэтому поток студентов – сорок пять разновозрастных существ – изучал меня
